Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2005-02-18,198.51,198.84,196.66,197.95,16954800.0,0.0,1.0,99.56233940379973,99.72785032014275,98.6344751758161,99.28147239424793,16954800.0
2005-02-22,196.5,198.9,190.39,191.37,26940400.0,0.0,1.0,98.55422745880131,99.7579432140233,95.48976776529862,95.98128503201428,26940400.0
2005-02-23,193.3,194.48,188.66,193.95,31140800.0,0.0,1.0,96.9492731185053,97.54110003148945,94.6220893250761,97.27527946887793,31140800.0
2005-02-24,183.37,189.85,182.23,188.89,51576900.0,0.0,1.0,91.96889918127428,95.21893172037367,91.39713419754382,94.73744541828486,51576900.0
2005-02-25,189.15,189.92,185.51,185.87,19927000.0,0.0,1.0,94.86784795843393,95.25404009656765,93.04221239634722,93.22276975963052,19927000.0
2005-02-28,186.0,189.87,185.85,187.99,15621100.0,0.0,1.0,93.28797102970505,95.22896268500052,93.21273879500367,94.28605201007663,15621100.0
2005-03-01,189.29,189.75,185.39,186.06,18603700.0,0.0,1.0,94.93806471082188,95.16877689723943,92.98202660858611,93.3180639235856,18603700.0
2005-03-02,185.95,187.67,184.36,185.18,14556400.0,0.0,1.0,93.26289361813792,94.12555657604702,92.46543193030335,92.8767014800042,14556400.0
2005-03-03,186.13,187.75,184.31,187.005,15201900.0,0.0,1.0,93.35317229977957,94.16568043455442,92.44035451873623,93.79202700220426,15201900.0
2005-03-04,186.7,187.25,185.07,185.9,13534600.0,0.0,1.0,93.6390547916448,93.91490631888317,92.82153117455653,93.2378162065708,13534600.0
2005-03-07,187.78,189.6,187.03,188.81,17317400.0,0.0,1.0,94.1807268814947,95.09354466253805,93.80456570798782,94.69732155977748,17317400.0
2005-03-08,189.1,189.85,184.97,185.2,16076100.0,0.0,1.0,94.8427705468668,95.21893172037367,92.77137635142228,92.88673244463104,16076100.0
2005-03-09,184.21,184.65,180.16,181.35,22698000.0,0.0,1.0,92.39019969560198,92.61088091739268,90.35892935866485,90.95577175396242,22698000.0
2005-03-10,181.01,181.2,177.4,179.98,21899000.0,0.0,1.0,90.78524535530597,90.88053951926103,88.97465624015955,90.26865067702319,21899000.0
2005-03-11,180.44,180.95,177.15,177.8,16040500.0,0.0,1.0,90.49936286344075,90.75515246142541,88.84926918232392,89.17527553269655,16040500.0
2005-03-14,178.33,178.4,172.57,174.99,22270900.0,0.0,1.0,89.44109609530808,89.47620447150204,86.55217828277527,87.76592500262413,22270900.0
